,Bid_ID,Field_ID,Flood Start,Flood End,Source,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26
0,B4B-23-S-001,Montz Ranch,2023-02-18,2023-03-18,Sentinel 2,0.9598030473892647,0.9578069922555805,0.9456645656703326,,0.7431859578315628,0.6002685229777575,1.0,0.8977172958735739,0.882985205666139,0.2339804489405478,0.0,0.0,0.0,0.0660929330520358,0.5342012501146596,0.9144466429922389,0.9146475698766929,0.9107436915510254,0.9770681273177575,0.9822703864348147,0.9828644311366785,0.984664037145266,0.985854310536868,0.9897674708110021,0.9925962811054473,0.9917871135979454,0.9939612735270095,0.9931826818497503,0.99313518011348,0.9945700601470262,0.9940819388570755,0.9910478337024272,0.9846542091998307,0.9770681273177573,0.709716126759531,0.10495590528481401,2.948383630574087e-05,0.0,0.052225702042902326,0.4880175505265602,0.9182839096877347,0.8535374051603275,0.8570459816807109,0.8984052520540416
1,B4B-23-S-002,LR3,2023-03-01,2023-03-29,Sentinel 2,,0.7534395780784224,0.9472188554394471,,,0.957553968617945,0.9377600157237856,0.9513299701903234,0.9671765977659124,0.608232056867691,0.08500671536672456,0.0,0.0,,0.0,0.15244701411864908,0.8902037540537886,0.928370786516854,0.9225439774625742,0.925009008418777,0.9556048743735055,0.967143839879451,0.9543518852163659,0.9671684082942968,0.9698873128705735,0.9733064172699577,0.9817129098830544,0.9768852163658401,0.9774707635863334,0.978666426442166,0.977626363547024,0.9747109116519803,0.9735152487961477,0.9726635437481574,0.9723195859403151,0.9670578504274904,0.9588888524912372,0.38007337766567306,0.3257771808562912,0.0020883152618993025,0.0,,0.0,
2,B4B-23-S-002,LR5,2023-03-01,2023-03-29,Sentinel 2,,0.1022669843332611,0.4417912064110893,,,0.9000292477392788,0.9790027194185736,0.9635615960339805,0.9857711837893771,0.7227817486102086,0.13807667316439243,0.0,0.0,,0.0,0.0,0.778842682838784,0.6762478040093374,0.9302938415998843,0.927105142829639,0.945801145524992,0.9778896830553749,0.9324447091666063,0.9847483936177891,0.9886771111592421,0.9929908791182345,0.9963360046206049,0.9961043727288043,0.9976295333670253,0.9977197795586359,0.9978762062907612,0.9976295333670253,0.995213943638245,0.9968955310085915,0.9850131157798474,0.9781303395663368,0.9774925998122876,0.7718395783697926,0.5463985753134549,0.0,0.0,,0.0,
3,B4B-23-S-002,LR6,2023-03-01,2023-03-29,Sentinel 2,,0.25692785727874184,0.9163161343507578,,,0.9256455379699123,0.9613251883010279,0.9612371148548197,0.9579924890965074,0.40246041979327396,0.007186793210594178,0.0,0.0,,0.0,0.2695047453972817,0.9037392462322179,0.9011780704164816,0.9037392462322179,0.9199095309560548,0.9549451478577013,0.9504534021010801,0.9658134111198009,0.9705834689664405,0.9711400931464766,0.9740817462498326,0.9766640596926587,0.9734476174371333,0.9727395069296189,0.974310737209974,0.9740148104307141,0.9727395069296189,0.9722674332579424,0.9731270300929352,0.9729720208276085,0.9613498488659662,0.9342831173772431,0.0017966983026485445,0.010780189815891267,0.0,0.0,,0.0,
4,B4B-23-S-002,LR7,2023-03-01,2023-03-29,Sentinel 2,,0.7344462772890192,0.9223939032479777,,0.30823639524000535,0.8569345528108324,0.9801085451287065,0.9799379887585533,0.9716825513196482,0.6617892636037799,0.20296717171717177,0.0,0.0,,0.0,0.00024947051156728583,0.0011455278592375367,0.0015171880091234932,0.0012931736722059306,0.002387789182144021,0.002688172043010753,0.0233178559791463,0.006150211795373083,0.011496008471814917,0.014469289670902564,0.019565615835777116,0.010253747148908431,0.004979227761485827,0.007535027696318012,0.007718312153796017,0.010340298142717488,0.01762585532746823,0.016123941023134566,0.023063294232649068,0.06401888140293868,0.006972446236559136,0.000896057347670251,0.001298264907135875,0.00708190778755295,0.0020314027370478987,0.0007331378299120236,,0.602318548387097,
5,B4B-23-S-002,LR8,2023-03-01,2023-03-29,Sentinel 2,,0.8568038972203655,0.7233605765750293,,,0.8478651800429859,0.9813009838571026,0.9771936192568544,0.964474161811062,0.9191708854713924,0.37628235743624056,0.0,0.00012417613907727586,,0.0002483522781545517,0.00031712675518196605,0.28384372910497685,0.9555564046231739,0.9596561276148637,0.9611156748495565,0.9525742668831796,0.9703467379883473,0.9695462794918337,0.9751762345973836,0.9840175756996856,0.9894641321998288,0.9909981851179681,0.9911242716591849,0.9922132008787856,0.9907765784697686,0.9911395548763022,0.990413602063235,0.9886216448562429,0.9907727576654892,0.9740692666233994,0.9786359728722902,0.9734797974973738,0.08681249402999337,0.020227337854618412,0.0,0.0,,0.0,
6,B4B-23-S-003,GR6,2023-02-18,2023-03-25,Sentinel 2,,0.9590060521840886,0.9494249510888446,,,,0.9918999469748223,0.656278937621012,0.9977601433508254,0.46553363441882556,0.06332623283538423,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000436543489788082,0.002619260938728492,0.001746173959152328,0.001746173959152328,0.001746173959152328,0.002619260938728492,0.002619260938728492,0.0026169753707191304,0.001746173959152328,0.001746173959152328,0.0021402862730412345,0.0,0.0,0.0,,0.7003986030608326,,0.7142377173575176,
7,B4B-23-S-003,GR7,2023-02-18,2023-03-25,Sentinel 2,,0.7720549134516258,0.6792989310326122,,,0.7738048127838393,0.9914265559715666,0.17744524921259366,0.9898638016170167,0.9000108524607957,0.2553421238265779,0.0004123935102284446,0.0,,0.0,0.0,0.8807151771664231,0.8387118773137561,0.9480915891426956,0.9127136578219115,0.9150089532801567,0.9317760052091815,0.9694014867871295,0.9758315698084544,0.9834825546692716,0.985205382820555,0.9838623907971138,0.9824352922025075,0.9833686038309192,0.9828910955559179,0.983900374409898,0.9793260621846009,0.9776113733789142,0.9757556025828862,0.9684681751587177,0.9583238374301376,0.9630256660697817,0.2938032448857781,0.4457539747137667,,0.0,,0.0,
8,B4B-23-S-003,GR9,2023-02-18,2023-03-25,Sentinel 2,,0.7168849480734294,0.4600711822468642,,,,0.9637011126476678,0.2114205868653936,,0.4030387664162984,0.1463570053417934,0.0023048347297920223,0.0,,0.0,0.2662084112909786,0.8502942053743323,0.8559704258069181,0.8406319766443414,0.8756021945642055,0.8499100662527003,0.8585193018610411,0.9154125654166327,0.9470701483228938,0.9582689335394127,0.967095094769381,0.9674973110261487,0.9640897710530835,0.964162079593626,0.9695129115937707,0.9695129115937707,0.966177680161248,0.9585581677015826,0.9536683026473964,0.9467086056201813,0.8807722552129938,0.8523459602122258,0.0,0.0,,0.0,,0.10485190307040142,
9,B4B-23-S-003,R11,2023-02-18,2023-03-25,Sentinel 2,,0.9704946546750384,0.9636390632954354,,,,0.9855718649244868,,0.9880960461564569,0.696809774308502,0.0005408959782793145,0.0,0.0,,0.0,0.6082449516375362,0.9198540641438997,0.8819277108433737,0.9140166298998813,0.9157941625657562,0.8728618700152725,0.9484260987612424,0.9628584761581539,0.976938740879009,0.9754836246394027,0.9857415577804174,0.9829034447649755,0.9800992703207196,0.9760436110639743,0.9813380281690142,0.9815416595961312,0.9732776175123028,0.9721894620736466,0.9633336161547599,0.944361687555647,0.7345918886814866,0.6588155438656035,0.0,0.20180298659426443,,0.4657008314949942,,0.5565777193280164,
10,B4B-23-S-005,Field 2,2023-02-19,2023-03-19,Sentinel 2,,0.4889671490672973,0.5057282782149339,,,,0.6632696857976115,,0.7502778847741151,0.05914268420183785,0.011098882958234737,0.0,0.0,,0.0,0.0,0.1259010620150772,0.5630275683706594,,0.7131678864249156,0.6022395861993062,0.6156826060639407,0.7394541352555986,0.9206845319980186,0.9551752600011003,0.9800996341123607,0.9793759973587187,0.9803664777417045,0.9770428657899077,0.9781654102239582,0.9829967534254112,0.9777362020579978,0.9692345787707035,0.9563968524734493,0.9478457051670056,0.9365817421449398,0.9208276013866719,0.6138667253618001,0.8092334782369444,0.0,0.0,,0.023854069223573422,
11,B4B-23-S-005,Field 3,2023-02-19,2023-03-19,Sentinel 2,,0.8555104345731913,0.8199755848426716,,,,0.910641077810165,,0.9652623798965261,0.18144724858893124,0.010496856756105864,0.0007612435674918545,0.0,,0.0,0.0,0.16994831848216332,0.7412699203600819,,0.7953112932559355,0.7399536610279278,0.46120564372140144,0.625293770813091,0.907723438827851,0.9427074250313495,0.9721673536072957,0.9608969940567637,0.9603115285494019,0.9531157007177834,0.9612596228107326,0.9617523550107819,0.9578935421632052,0.9565717465141965,0.9491018709982809,0.9400693700501869,0.9396153920681187,0.9333898037652492,0.7513944598077237,0.896667414069442,0.0,0.09233469249912109,,0.42164173940002925,
12,B4B-23-S-005,Field 5,2023-02-19,2023-03-19,Sentinel 2,,0.762389081642052,0.7439820074303782,,,,0.866613958058276,,0.9064063987227116,0.027902299732874804,0.0001611962295434308,0.0,0.0,,0.0,0.0,0.6826506800945682,0.7371541957075743,,0.7617059166692249,0.7882687524947032,0.6656559918941322,0.8847600478983078,0.9124934753907089,0.9303325247935152,0.9367189658878072,0.9403804231017223,0.9387569467898922,0.9222803893272744,0.9409561239215205,0.94599158709202,0.9353526359421536,0.9262642390002762,0.9175212625502778,0.8991218643495347,0.8920369062605544,0.8736298320488808,0.7075900396082161,0.8233826644969142,0.0332755073843225,0.782553962356842,,0.7826537504989404,
13,B4B-23-S-009,M1,2023-02-21,2023-04-04,Sentinel 2,,0.0023599311455383414,0.0023599311455383414,0.48766357561959756,0.7932110251511572,0.9749477113295204,0.9754937346141743,0.7549990436880325,0.8878153515834675,0.48718233475854655,0.060401897816523824,0.0025450237844040938,0.0,0.009565679501425187,0.0,0.034612323467895674,0.31335566784508967,0.5461203044365318,0.6088622355488921,0.39646843245044133,0.8432635534084807,0.9111431938351812,0.9246364472084944,0.9309326818072444,0.9441945693819755,0.9465359912636273,0.9515365773903172,0.9451848149999074,0.9417420919170044,0.9452125788957373,0.9445462453958207,0.9401965683824752,0.9320093039899802,0.9205212208710458,0.9036407722064892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B4B-23-S-009,M2,2023-02-21,2023-04-04,Sentinel 2,,0.0,0.002146031104827307,0.016436413639000492,0.824785774478259,0.9233572342287754,0.9694674476536728,0.7208476402073655,0.942553692856662,0.5749680199286338,0.04578199690298255,0.0,0.0,,0.0,0.3926760026032899,0.336132992212572,0.6668742566036041,0.7838315491819832,0.7522722682286406,0.941061289526246,0.9563107340829012,0.9627965169774905,0.9639971722884266,0.982924325052178,0.9912223119908435,0.9953264211494872,0.9898841984784219,0.9856005520770215,0.9885460849660002,0.993898539015687,0.976413294732826,0.961057249938284,0.9519120716353597,0.9437992324782871,0.6359770192329272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B4B-23-S-009,M3,2023-02-21,2023-04-04,Sentinel 2,,0.0,0.0,,0.8474637777886197,0.9483031804563262,0.9622224782976108,0.8927659470327137,0.8789947760620727,0.39737458707843576,0.012269212056029294,0.0,0.0,0.0,0.0,0.3369824076208035,0.426986504827021,0.742690407544337,0.8268898363678264,0.6645668484801924,0.9493194796548102,0.9895553250877057,0.9959732145143531,0.9981946685104094,0.9987964456736064,0.9989004763002227,0.9986652070369516,0.9981946685104094,0.9981946685104094,0.9981946685104094,0.9981946685104094,0.9981946685104094,0.9974488489411281,0.9959572098025657,0.987458707843589,0.929102327725282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,B4B-23-S-009,M4,2023-02-21,2023-04-04,Sentinel 2,,0.0,0.0,,0.808010801080108,0.885058505850585,0.896909690969097,0.8506650665066506,0.8894089408940893,0.7366186618661865,0.03601360136013601,0.0,0.0,0.0,0.0,0.03315331533153315,0.3213321332133213,0.5876387638763876,0.6713471347134713,0.4437443744374437,0.7667866786678667,0.8991999199919992,0.9336633663366337,0.9651665166516651,0.966116611661166,0.9665916591659165,0.968016801680168,0.968016801680168,0.9618061806180618,0.9758775877587758,0.9708970897089708,0.9622262226222622,0.9472647264726471,0.9368886888688868,0.9302730273027302,0.878137813781378,0.0,0.0,0.0,0.0,0.0,0.01008654504700828,0.0,0.0
17,B4B-23-S-009,M6,2023-02-21,2023-04-04,Sentinel 2,,0.012615893056806143,0.03658608986473781,0.0,0.0009964706968154926,0.02383792126410405,0.17274373410644842,0.06575861458016255,0.04187487013051261,0.003858979052670115,0.0033741329665654077,0.0038985583250051928,0.0008575509005933586,0.0,0.0,0.0538278103757062,0.37414615965618775,0.5825640112273199,0.8693191375676553,0.6301053138471379,0.9064741794722098,0.9383321954292532,0.9430157426555708,0.9629043270039475,0.9712753431028166,0.9725319849994553,0.9764635260514063,0.9696872248003715,0.9768312834568531,0.9797749918367746,0.9766779137765547,0.9753355167898565,0.9682574235872669,0.9654225582062668,0.9578282853269736,0.9506446473981569,0.6989204753470603,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,B4B-23-S-009,M7,2023-02-21,2023-04-04,Sentinel 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894666564607626,0.5258592095527262,0.8328017758273162,0.48146352665016706,0.8429396405820767,0.9176723734680513,0.9581132685258421,0.9871788329548644,0.9887309808724346,0.9896568243773581,0.9867408295699063,0.9876508560202076,0.9908912305768887,0.9908912305768887,0.9892710432985481,0.9816038578317556,0.9825138842820572,0.969918097619473,0.9494552598678334,0.9286352154721508,0.8940372005205012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,B4B-23-S-009,R3,2023-02-21,2023-04-04,Sentinel 2,,0.0,0.0,0.0,0.0,0.19070926577381184,0.9578715006669112,0.810654456863984,0.8211508311037962,0.456143771986615,0.13757608376299046,0.01169629415848303,0.0,0.0,0.0,0.0,0.3022316170448429,0.561068513737328,0.8920150074491237,0.6948927352194046,0.814349118195362,0.9121783421604798,0.9568288833594636,0.9791658541531789,0.9918124640869038,0.9934868918824051,0.9940979020251733,0.9933035888395747,0.994781713376442,0.9962169372011574,0.9961935368127111,0.9947791133332812,0.9936090939109588,0.9916187608714302,0.9787836478085534,0.9497645660917972,0.8530455605563052,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,B4B-23-S-009,R4,2023-02-21,2023-04-04,Sentinel 2,,0.0,0.0,,0.0,0.0654347196757696,0.3019009939206795,0.16294689396906278,0.13682653028402333,0.09642638875486514,0.08967587678385718,0.03206600405288045,0.0055174927895182664,0.0,0.0,0.0,0.044839010582521155,0.6179034385152306,0.9307665090546496,0.6840683199845605,0.8914600019299431,0.9305134720747961,0.9389559008009264,0.97132426260092,0.9940043102061825,0.9979632206341283,0.9984281685912489,0.99782238090643,0.9984367461159898,0.9989481810286598,0.9990350284666603,0.9988356010164368,0.997343111711538,0.9962623435941975,0.9902151886519347,0.971739200360256,0.9466949724983115,0.06397761266042652,0.0,0.0,0.0,0.0,0.0,0.0
